View,Coment,Like,Subscriber
431.0,0.0,0.0,1000.0
10.0,2.0,1.0,1000.0
320.0,12.0,16.0,10000.0
12.0,5.0,3.0,20.0
40124.0,138.0,1000.0,70000.0
45088.0,198.0,1000.0,410000.0
31091.0,200.0,714.0,240000.0
50022.0,113.0,1000.0,260000.0
28115.0,140.0,1000.0,90000.0
18015.0,185.0,747.0,380000.0
18708.0,107.0,462.0,50000.0
1217.0,52.0,90.0,10000.0
4533.0,17.0,230.0,7000.0
12795.0,86.0,505.0,20000.0
48106.0,204.0,1000.0,140000.0
22876.0,124.0,595.0,40000.0
11654.0,77.0,281.0,9000.0
19062.0,77.0,966.0,70000.0
10756.0,80.0,419.0,10000.0
46.0,27.0,12.0,249.0
240.0,14.0,25.0,249.0
10668.0,106.0,975.0,80000.0
13832.0,184.0,598.0,40000.0
2864.0,28.0,129.0,20000.0
1678.0,9.0,65.0,8000.0
263.0,10.0,24.0,627.0
4579.0,15.0,72.0,200000.0
682.0,26.0,48.0,3000.0
1471.0,32.0,97.0,9000.0
105.0,6.0,12.0,724.0
464.0,16.0,61.0,50000.0
19174.0,160.0,886.0,110000.0
8415.0,132.0,466.0,20000.0
1090.0,25.0,90.0,3000.0
124.0,1.0,17.0,3000.0
16023.0,78.0,807.0,160000.0
832.0,17.0,74.0,20000.0
31293.0,60.0,346.0,230000.0
19293.0,242.0,765.0,460000.0
4958.0,51.0,196.0,170000.0
16425.0,87.0,446.0,370000.0
1786.0,59.0,124.0,30000.0
21416.0,147.0,810.0,270000.0
89.0,10.0,22.0,1000.0
85.0,18.0,4.0,1000.0
31.0,1.0,4.0,4000.0
4886.0,193.0,670.0,30000.0
1680.0,9.0,65.0,8000.0
263.0,17.0,24.0,627.0
2463.0,59.0,96.0,2000.0
183.0,18.0,41.0,1000.0
24.0,0.0,7.0,35.0
1316.0,6.0,53.0,50000.0
38012.0,269.0,1000.0,170000.0
10678.0,161.0,307.0,5000.0
176.0,52.0,31.0,1000.0
49.0,3.0,13.0,379.0
74.0,23.0,10.0,244.0
579.0,22.0,61.0,10000.0
72.0,5.0,9.0,165.0
37.0,3.0,3.0,71.0
51.0,6.0,6.0,77.0
33.0,2.0,6.0,93.0
235.0,17.0,39.0,889.0
71.0,12.0,4.0,466.0
111.0,15.0,18.0,791.0
93.0,3.0,4.0,194.0
9680.0,91.0,2000.0,340000.0
3705.0,38.0,141.0,70000.0
82.0,21.0,13.0,428.0
16.0,6.0,3.0,29.0
68.0,9.0,16.0,71.0
244.0,17.0,24.0,3000.0
20801.0,187.0,639.0,240000.0
47292.0,255.0,1000.0,110000.0
2572.0,16.0,175.0,10000.0
1554.0,26.0,260.0,340000.0
15943.0,131.0,827.0,110000.0
34509.0,87.0,871.0,490000.0
30921.0,68.0,485.0,230000.0
27261.0,192.0,1000.0,110000.0
16824.0,104.0,536.0,370000.0
2467.0,25.0,181.0,70000.0
33931.0,399.0,1000.0,530000.0
3058.0,35.0,172.0,70000.0
16379.0,123.0,1000.0,270000.0
6349.0,30.0,388.0,50000.0
602.0,6.0,39.0,3000.0
13803.0,198.0,451.0,10000.0
1533.0,72.0,164.0,3000.0
4508.0,31.0,162.0,40000.0
104.0,24.0,19.0,1000.0
272.0,2.0,49.0,6000.0
503.0,3.0,95.0,6000.0
17255.0,72.0,824.0,320000.0
164.0,18.0,18.0,10000.0
113.0,8.0,25.0,1000.0
10384.0,182.0,546.0,90000.0
18596.0,148.0,973.0,110000.0
235.0,33.0,29.0,843.0
934.0,3.0,20.0,10000.0
36.0,1.0,3.0,236.0
1146.0,0.0,37.0,20000.0
185.0,3.0,10.0,3000.0
304.0,14.0,26.0,724.0
2506.0,35.0,112.0,20000.0
2608.0,16.0,180.0,10000.0
476.0,18.0,109.0,981.0
