View,Coment,Like,Subscriber
1709,0,47,101000
21304,116,176,32700
113,10,7,4450
3234,24,174,53600
26911,49,991,636000
5067,50,178,64700
209895,3823,50000,3680000
57480,415,5500,387000
104856,336,12000,1160000
166,1,6,3270
311,6,18,6400
64085,1,8700,1200000
9,1,1,299
122,10,10,236
306417,911,23000,2390000
477,2,31,1620
83458,183,2500,1450000
36243,315,827,681000
144509,554,6500,2300000
914,25,25,3860
151,2,4,1400
15272,43,683,606000
26265,72,848,68300
29340,112,1600,238000
78832,417,3400,508000
12073,18,453,1360000
6682,10,72,262000
260999,1968,9800,3630000
87290,166,1300,75300
104047,409,5400,874000
11786,411,899,15200
43328,459,3500,370000
6847,55,283,60300
1281,23,65,69900
60638,217,2500,124000
896,1,27,4950
13077,43,777,1180000
12883,133,1300,370000
12673,60,472,501000
8875,67,169,173000
46610,270,2600,437000
29879,173,497,80900
4296,14,74,231000
3898,17,75,231000
3555,32,71,231000
65736,697,2500,600000
13347,136,622,111000
25731,132,1400,132000
524110,212,87000,2100000
1662,16,47,18700
12250,73,738,824000
127386,1255,997,916000
583330,1564,22000,16400000
20128,46,501,41700
1469315,21489,50000,8780000
72403,306,5200,11400000
11828,145,518,81400
2378,9,28,6510
873,20,102,175000
253509,426,13000,1640000
183567,217,15000,5260000
242,7,23,6020
6181,12,202,19400
1388,5,21,165000
748,3,9,46400
5891,3,215,37200
2370,69,234,323000
9087,134,213,222000
9897,60,142,15000
4449,53,241,17800
18415,34,255,163000
11371,101,914,641000
58391,428,2200,2080000
1484,52,46,13500
49322,167,1700,207000
3956,145,155,223000
38944,112,389,166000
159979,737,3800,879000
7174,84,318,39600
2374,0,23,30900
854,5,10,46400
240,8,23,18400
36,3,4,36700
118640,38,2300,1800000
511,18,22,28800
70584,367,4600,287000
4230,27,298,92500
2150,27,14,1930
132309,1600,12000,829000
16031,58,546,29300
34848,201,2100,101000
96758,204,2500,414000
1333635,385,130000,6580000
1108,8,35,25600
123045,1587,5300,422000
4242,73,460,143000
5997,3,216,37200
113378,1417,16000,2360000
5942,39,71,54500
50915,187,2000,623000
1014,12,17,11800
168511,1357,9800,5260000
305,2,19,91300
25502,121,382,162000
13902,54,97,40300
25815,177,1600,310000
507,4,5,1730000
151338,46,13000,290000
1187235,16789,42000,4260000
220975,3106,23000,4490000
275,8,7,5640
17743,44,202,138000
28565,258,1600,125000
44,1,3,6590
66,3,5,36700
34343,529,3400,107000
82,3,7,2900
18787,173,1000,645000
19,3,3,154
224363,1819,21000,2350000
11747,117,1700,31500
97,1,4,4470
118,39,13,18600
956,9,67,105000
143,4,4,3710
645884,750,10000,13300000
37457,278,2800,263000
245,18,23,6210
191336,1327,9100,5790000
129,101,10,659
70683,772,3900,1690000
55,5,8,70
5035,33,445,167000
9076,2132,1500,44000
16,5,3,57
1815,5,115,24900
12616,22,119,15000
12071,68,1100,104000
179,13,10,147
17950,72,477,100000
28425,220,2600,68500
21342,357,1200,35000
36086,69,868,131000
36705,118,3100,640000
89298,857,1800,218000
15433,116,316,237000
11864,425,1600,739000
31609,452,1200,165000
3189,116,105,18800
54263,304,2100,202000
2096,113,263,191000
1402,103,48,2060
35367,263,1900,94900
841,66,46,3380
19749,544,1000,94000
628,9,18,1400
729,7,11,36100
2794,53,125,8940
11107,6,606,70800
70557,419,1500,939000
4787,16,91,108000
15754,46,809,85000
195927,168,2300,426000
8245,71,52,835000
4304,9,151,20400
262565,820,10000,5790000
47120,128,1900,303000
7061,105,239,102000
21950,107,720,365000
10066,364,1400,193000
358423,9343,27000,16900000
17873,101,2000,32100
127,0,5,1520
6299,36,415,23700
774,34,87,20800
744,12,22,17700
17216,2,345,138000
53,1,12,309
529,5,38,7560
21048,162,847,65800
12961,346,1800,243000
14224,151,679,1430000
330,0,2,50500
2416,43,292,833000
5070,107,535,107000
14336,88,783,70600
66982,359,2700,4750000
18507,159,152,32800
28299,103,989,44300
45944,133,2000,1260000
73128,144,4000,2020000
137858,296,2900,151000
19271,116,1900,1830000
401,12,13,527
744,72,32,2210
174,5,6,624
76,4,1,754
69160,325,2500,1450000
53,0,8,615
6972,163,687,49800
4141,128,425,124000
921,19,33,6930
12215,53,680,18000
4715,16,271,2630000
366600,9401,27000,16900000
4257,168,468,328000
23717,72,606,179000
14616,78,808,224000
19787,64,1100,1600000
94263,1168,6400,499000
63475,926,3600,479000
73081,273,3700,539000
9093,17,295,116000
5843,14,146,82100
3988,15,57,182000
15526,76,426,2210000
4370,12,228,235000
16769,243,1200,60300
2683,5,90,62700
1430,36,100,20200
182638,1104,29000,752000
1172,72,151,18500
201,0,0,282
6796,90,315,67000
3332,191,206,6830
18931,106,1100,696000
29518,89,1100,531000
17,0,1,7270
2336,3,25,150000
7,0,1,5
3411,13,141,127000
10682,165,490,790000
2236,34,186,70700
10400,42,323,13400
12991,36,243,41700
402,12,13,528
3008,10,97,88500
404,0,12,17300
53277,1211,12000,410000
16464,96,815,18600
3933,0,20,136000
14054,470,3300,127000
15328,60,491,69500
72528,619,1300,85300
4062,209,366,12100
4633,32,471,24300
54496,1061,2800,21600
4541,59,50,15800
21046,48,360,10900
192460,309,8300,10400
3019,122,83,7910
1220,44,41,13500
55530,644,1100,18100
3805,113,389,10900
204199,523,6900,18800
31847,266,803,19100
451,2,4,46400
56440,494,1100,11400
8980,84,200,23100
25824,71,543,43200
9747,292,1000,75400
8674,1,319,37400
16153,294,205,10800
742366,6046,100000,13900000
10319,229,272,23000
11961,178,1500,14600
52705,346,4500,19800
1293436,20435,53000,4280000
1911,29,275,12400
25449,209,810,21800
175888,970,13000,2270000
913,9,21,1280
1935,31,256,116000
4069,37,265,54000
10197,114,343,20900
196553,458,10000,1300000
16915,351,2300,84500
62678,1078,7200,2030000
292,8,6,534
60779,460,6300,1700000
47852,493,6500,720000
2124,17,383,39300
27218,132,1000,44500
8394,121,1400,25100
19390,83,611,36500
1491,137,203,103000
1415,37,70,16600
73687,503,1100,109000
181303,829,9100,5260000
3618,79,147,3960
10058,154,764,29600
42581,505,2100,29500
25061,99,606,833000
5436,25,54,646000
102,0,2,953
300,27,33,1470
601,76,40,2240
5502,18,112,2220000
12451,188,103,32800
5790,135,193,13200
45707,86,3100,1800000
7685,47,566,100000
5406,232,517,355000
32326,155,577,724000
795,1,26,1710
149652,25,13000,857000
6897,160,333,46500
6631,141,1000,17900
56,0,6,285
5986,131,566,16400
4155,10,96,80800
44113,463,1900,18400
6045,163,680,51400
37124,165,1800,30600
9742,130,680,15300
70081,2628,5000,480000
5557,26,335,1020000
3149,8,109,13500
42,4,6,72
9259,166,576,153000
16298,542,2300,235000
78390,141,2400,1450000
29385,260,389,5920
7023,95,766,19300
19510,280,727,2220000
6962,12,57,59100
3455,128,475,280000
13418,141,1200,1920000
13157,41,872,42600
30521,235,1900,62000
5234,2,96,7030
4141,17,50,50600
153900,979,14000,65900
976,2,25,120000
4389,5,55,14100
242,4,3,9460
1944,14,54,2220000
296773,1077,16000,4990000
9653,0,356,23500
16,0,2,1
126229,409,930,917000
38,0,2,53
2451,41,235,78000
1729,36,125,46300
736,1,21,45900
52208,315,1300,178000
9571,67,180,81800
1134,48,158,145000
16353,321,1800,512000
76995,2565,5000,127000
28981,278,2100,1510000
66621,558,1300,114000
1467,47,162,20900
9349,235,419,121000
23999,49,378,1090000
1208,30,149,9140
4231,118,407,109000
1569,46,42,13500
233481,547,7400,188000
60951,665,1200,181000
548,2,4,46400
3774,26,110,18900
9644,85,204,231000
36344,79,636,432000
1439,33,91,212000
56468,361,1300,754000
2399,50,151,21100
19693,325,221,108000
32554,32,1400,25400
10468,234,1900,474000
9123,77,55,15800
60546,382,5100,198000
15736,284,1400,32400
1848,53,88,1480
233,2,14,11400
3912,35,441,116000
26312,406,3000,84700
88651,1137,8400,2030000
261479,505,11000,1310000
327,9,6,534
56388,538,7900,720000
96210,273,3700,1670000
755,45,38,3280
605233,2124,14000,2610000
262,4,16,6090
19774,245,1600,641000
2390,21,450,39300
22803,90,673,36500
44950,186,283,103000
1394748,21008,54000,4280000
11192,156,802,29700
77081,509,1200,109000
256,2,4,1590
235308,1054,15000,2270000
32367,142,1100,44600
148,1,5,1300
37,0,2,804
109,0,4,1260
28,1,2,1590
9837,0,1000,38900
4947,41,340,161000
46,18,9,322
42992,174,2000,306000
33428,163,583,725000
13519,198,105,32800
7851,162,356,46500
24082,79,1000,93000
48421,538,2300,295000
5811,18,115,2220000
3980,77,390,264000
36555,77,1600,993000
9028,27,244,100000
6626,29,347,46400
21011,253,1500,58500
33376,286,419,5940
16802,454,3800,154000
6815,86,439,76200
6839,20,80,54600
25014,20,618,5930
151072,27,13000,857000
7436,52,185,250000
10514,79,747,252000
194,5,24,6030
213113,1084,17000,659000
140949,432,964,917000
589,3,32,9150
7339,144,1100,179000
3941,7,53,14800
6316,81,266,17400
1586,8,51,165000
220905,327,9000,1040000
110829,570,8300,1700000
146,3,6,25100
3207,171,474,18000
3650,224,675,10300
92289,2457,19000,420000
52930,491,2100,184000
11429,1845,1100,536000
10698,154,700,153000
41016,645,2200,185000
11165,217,1500,160000
17769,301,2000,31600
37046,250,2100,62100
33628,291,420,5940
8151,72,649,152000
15255,60,508,2220000
16089,42,990,42600
42161,157,1500,2080000
16973,455,3800,154000
39,0,2,53
1402,20,188,6160
5934,239,549,355000
4809,6,55,141000
70,0,0,5
31936,724,4900,444000
1382,12,104,516000
921,22,75,17000
3657,129,483,280000
1254,4,31,25400
5533,4,140,2220000
2737,35,160,1820
7924,164,358,46500
2563,4,29,343000
15080,235,1200,12400
14429,105,684,34300
734,20,18,3230
88769,429,1600,754000
5744,2,247,15200
180586,486,4000,1510000
63196,456,2900,512000
14961,104,363,145000
42441,57,914,124000
159623,443,2000,179000
12719,264,482,121000
822844,3491,52000,3090000
83756,464,6100,1670000
3048,121,378,319000
7153,45,148,212000
61461,4204,6700,1840000
5231,55,352,9190
13029,126,340,88800
1381,14,38,8910
6519,11,83,165000
7162,65,214,21100
25726,38,208,47300
77445,64,1100,243000
6797,105,278,20900
8329,32,147,19000
26743,48,220,226000
42148,431,2400,274000
13321,373,1000,741000
3283,176,463,219000
38440,1570,4700,1280000
17451,497,1900,185000
2178,73,247,547000
20142,213,613,124000
78380,367,2700,204000
102586,501,7200,1670000
5238,29,194,354000
14682,83,212,115000
1993,98,82,13500
11319,205,639,319000
5111,27,97,2780000
1533,108,209,173000
233126,2346,11000,974000
107604,613,1400,23800
692,10,12,36100
4080,12,169,21100
13040,214,243,15500
194378,518,12000,6970000
1179,0,129,37500
1010,77,97,56800
237,0,1,277000
52539,465,2600,739000
88509,200,3400,2570000
314823,2667,11000,3670000
286293,554,12000,3240000
4519,20,40,145000
204362,742,10000,5260000
5553,153,734,31400
2811,24,27,18800
